"Sunyani","Sunyani","Ghana","NYI","DGSN",-2.328756,7.361828,1014,0,"N"
"Takoradi","Takoradi","Ghana","TKD","DGTK",-1.774756,4.896056,21,0,"N"
"Abidjan Felix Houphouet Boigny Intl","Abidjan","Cote d'Ivoire","ABJ","DIAP",-3.926294,5.261386,21,0,"N"
"Bouake","Bouake","Cote d'Ivoire","BYK","DIBK",-5.073667,7.7388,1230,0,"N"
"Daloa","Daloa","Cote d'Ivoire","DJO","DIDL",-6.473189,6.792808,823,0,"N"
"Korhogo","Korhogo","Cote d'Ivoire","HGO","DIKO",-5.556664,9.387183,1214,0,"N"
"Man","Man","Cote d'Ivoire","MJC","DIMN",-7.587364,7.272069,1089,0,"N"
"San Pedro","San Pedro","Cote d'Ivoire","SPY","DISP",-6.660817,4.746717,26,0,"N"
"Yamoussoukro","Yamoussoukro","Cote d'Ivoire","ASK","DIYO",-5.365581,6.903167,699,0,"N"
"Nnamdi Azikiwe Intl","Abuja","Nigeria","ABV","DNAA",7.263172,9.006792,1123,1,"N"
"Akure","Akure","Nigeria","AKR","DNAK",5.301008,7.246739,1100,1,"N"
"Benin","Benin","Nigeria","BNI","DNBE",5.599503,6.316981,258,1,"N"
"Calabar","Calabar","Nigeria","CBQ","DNCA",8.347197,4.976019,210,1,"N"
"Enugu","Enugu","Nigeria","ENU","DNEN",7.561961,6.474272,466,1,"N"
"Gusau","Gusau","Nigeria","QUS","DNGU",6.696111,12.171667,1520,1,"N"
"Ibadan","Ibadan","Nigeria","IBA","DNIB",3.978333,7.362458,725,1,"N"
"Ilorin","Ilorin","Nigeria","ILR","DNIL",4.493919,8.440211,1126,1,"N"
"Yakubu Gowon","Jos","Nigeria","JOS","DNJO",8.86905,9.639828,4232,1,"N"
"Kaduna","Kaduna","Nigeria","KAD","DNKA",7.320114,10.696025,2073,1,"N"
"Mallam Aminu Intl","Kano","Nigeria","KAN","DNKN",8.524622,12.047589,1562,1,"N"
"Maiduguri","Maiduguri","Nigeria","MIU","DNMA",13.08095,11.855347,1099,1,"N"
"Makurdi","Makurdi","Nigeria","MDI","DNMK",8.613939,7.703883,371,1,"N"
"Murtala Muhammed","Lagos","Nigeria","LOS","DNMM",3.321156,6.577369,135,1,"N"
"Minna New","Minna","Nigeria","MXJ","DNMN",6.462256,9.652172,834,1,"N"
"Port Harcourt Intl","Port Hartcourt","Nigeria","PHC","DNPO",6.949594,5.015494,87,1,"N"
"Sadiq Abubakar Iii Intl","Sokoto","Nigeria","SKO","DNSO",5.207189,12.916322,1010,1,"N"
"Yola","Yola","Nigeria","YOL","DNYO",12.430422,9.257553,599,1,"N"
"Zaria","Zaria","Nigeria","ZAR","DNZA",7.685806,11.130192,2170,1,"N"
"Maradi","Maradi","Niger","MFG","DRRM",7.126753,13.502531,1240,1,"N"
"Diori Hamani","Niamey","Niger","NIM","DRRN",2.183614,13.481547,732,1,"N"
"Tahoua","Tahoua","Niger","THZ","DRRT",5.265358,14.875658,1266,1,"N"
"Manu Dayak","Agadez","Niger","AJY","DRZA",8.000114,16.965997,1657,1,"N"
"Dirkou","Dirkou","Niger","","DRZD",12.86865,18.968703,1273,1,"N"
"Diffa","Diffa","Niger","","DRZF",12.626686,13.372894,994,1,"N"
"Zinder","Zinder","Niger","ZND","DRZR",8.983761,13.778997,1516,1,"N"
"Habib Bourguiba Intl","Monastir","Tunisia","MIR","DTMB",10.754722,35.758056,9,1,"E"
"Carthage","Tunis","Tunisia","TUN","DTTA",10.227217,36.851033,22,1,"E"
"Sidi Ahmed Air Base","Bizerte","Tunisia","","DTTB",9.791453,37.245447,20,1,"E"
"Remada","Remada","Tunisia","","DTTD",10.382108,32.306156,1004,1,"E"
"Gafsa","Gafsa","Tunisia","GAF","DTTF",8.822503,34.422022,1060,1,"E"
