"  141" "Thompson Airport" "Thompson" "Canada" "YTH" "CYTH" " 55.8011017" " -97.864197" "  729" " -6.00" "A" "airport" "OurAirports" "America/Winnipeg"
"  142" "CFB Trenton" "Trenton" "Canada" "YTR" "CYTR" " 44.1189003" " -77.528099" "  283" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  143" "Timmins/Victor M. Power" "Timmins" "Canada" "YTS" "CYTS" " 48.5696983" " -81.376701" "  967" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  144" "Billy Bishop Toronto City Centre Airport" "Toronto" "Canada" "YTZ" "CYTZ" " 43.6274990" " -79.396202" "  252" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"  145" "Tuktoyaktuk Airport" "Tuktoyaktuk" "Canada" "YUB" "CYUB" " 69.4332962" "-133.026001" "   15" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"  146" "Montreal / Pierre Elliott Trudeau International Airport" "Montreal" "Canada" "YUL" "CYUL" " 45.4706001" " -73.740799" "  118" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  147" "Repulse Bay Airport" "Repulse Bay" "Canada" "YUT" "CYUT" " 66.5214005" " -86.224701" "   80" " -6.00" "A" "airport" "OurAirports" "America/Rankin_Inlet"
"  148" "Hall Beach Airport" "Hall Beach" "Canada" "YUX" "CYUX" " 68.7761002" " -81.242500" "   30" " -5.00" "A" "airport" "OurAirports" "America/Iqaluit"
"  149" "Rouyn Noranda Airport" "Rouyn" "Canada" "YUY" "CYUY" " 48.2061005" " -78.835602" "  988" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  150" "La Ronge Airport" "La Ronge" "Canada" "YVC" "CYVC" " 55.1514015" "-105.262001" " 1242" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"  151" "Vermilion Airport" "Vermillion" "Canada" "YVG" "CYVG" " 53.3558006" "-110.823997" " 2025" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"  152" "Qikiqtarjuaq Airport" "Broughton Island" "Canada" "YVM" "CYVM" " 67.5457993" " -64.031403" "   21" " -5.00" "A" "airport" "OurAirports" "America/Pangnirtung"
"  153" "Val-d'Or Airport" "Val D'or" "Canada" "YVO" "CYVO" " 48.0532990" " -77.782799" " 1107" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  154" "Kuujjuaq Airport" "Quujjuaq" "Canada" "YVP" "CYVP" " 58.0960999" " -68.426903" "  129" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"  155" "Norman Wells Airport" "Norman Wells" "Canada" "YVQ" "CYVQ" " 65.2816010" "-126.797997" "  238" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"  156" "Vancouver International Airport" "Vancouver" "Canada" "YVR" "CYVR" " 49.1939011" "-123.183998" "   14" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
